"date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","verify_id","validity_id","unit_id","unit_name","statistic_type","ratified_name","verification_status","network_parameter_id","network_id"
2010-01-01,2011-01-01,"hul2","Hull Freetown","pm25",9.791168,65079,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"hul2","Hull Freetown","pm25",12.43377,65079,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"hul2","Hull Freetown","pm25",10.733499,65079,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"inv2","Inverness","gr25",6.87963,65630,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2011-01-01,2012-01-01,"inv2","Inverness","gr25",6.13253,65630,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2012-01-01,2013-01-01,"inv2","Inverness","gr25",6.383929,65630,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2010-01-01,2011-01-01,"kc1","London N. Kensington","gr25",10.842105,65052,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2011-01-01,2012-01-01,"kc1","London N. Kensington","gr25",13.553797,65052,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2012-01-01,2013-01-01,"kc1","London N. Kensington","gr25",11.168116,65052,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2010-01-01,2011-01-01,"kc1","London N. Kensington","pm25",13.959458,65384,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"kc1","London N. Kensington","pm25",16.333043,65384,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"kc1","London N. Kensington","pm25",14.608103,65384,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"leam","Leamington Spa","pm25",16.030929,65318,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"leam","Leamington Spa","pm25",15.92024,65318,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"leam","Leamington Spa","pm25",11.40639,65318,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"lear","Leamington Spa Rugby Road","pm25",9.287715,73401,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"led6","Leeds Headingley Kerbside","pm25",18.570321,65530,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"led6","Leeds Headingley Kerbside","pm25",18.544258,65530,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"led6","Leeds Headingley Kerbside","pm25",17.003123,65530,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"leed","Leeds Centre","pm25",14.940673,65284,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"leed","Leeds Centre","pm25",16.077444,65284,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"leed","Leeds Centre","pm25",15.762919,65284,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"leic","Leicester Centre","pm25",15.293591,65083,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"leic","Leicester Centre","pm25",14.443211,65083,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"leic","Leicester Centre","pm25",14.261285,65083,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"lon6","London Eltham","pm25",16.537831,64906,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"lon6","London Eltham","pm25",16.015005,64906,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"lon6","London Eltham","pm25",13.399359,64906,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"lvp","Liverpool Speke","pm25",11.743691,65125,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"lvp","Liverpool Speke","pm25",11.849161,65125,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"lvp","Liverpool Speke","pm25",10.61907,65125,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"man3","Manchester Piccadilly","pm25",17.899692,65306,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"man3","Manchester Piccadilly","pm25",13.733316,65306,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"man3","Manchester Piccadilly","pm25",14.079313,65306,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"mid","Middlesbrough","pm25",9.146227,65321,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"mid","Middlesbrough","pm25",10.609503,65321,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"mid","Middlesbrough","pm25",10.184785,65321,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"my1","London Marylebone Road","gr25",20.803922,65054,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2011-01-01,2012-01-01,"my1","London Marylebone Road","gr25",22.486667,65054,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2012-01-01,2013-01-01,"my1","London Marylebone Road","gr25",18.05802,65054,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2010-01-01,2011-01-01,"my1","London Marylebone Road","pm25",22.608116,24459,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
