,date,date_end,site,site_name,variable,value,unit_name
224,09/08/2015,10/08/2015,acth,Auchencorth Moss,v25,0.6125,ugm-3 (TEOM FDMS)
225,10/08/2015,11/08/2015,acth,Auchencorth Moss,v25,-0.016667,ugm-3 (TEOM FDMS)
226,11/08/2015,12/08/2015,acth,Auchencorth Moss,v25,-1.154167,ugm-3 (TEOM FDMS)
227,12/08/2015,13/08/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
228,13/08/2015,14/08/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
229,14/08/2015,15/08/2015,acth,Auchencorth Moss,v25,1.129167,ugm-3 (TEOM FDMS)
230,15/08/2015,16/08/2015,acth,Auchencorth Moss,v25,-0.441667,ugm-3 (TEOM FDMS)
231,16/08/2015,17/08/2015,acth,Auchencorth Moss,v25,-0.325,ugm-3 (TEOM FDMS)
232,17/08/2015,18/08/2015,acth,Auchencorth Moss,v25,0.7125,ugm-3 (TEOM FDMS)
233,18/08/2015,19/08/2015,acth,Auchencorth Moss,v25,0.891667,ugm-3 (TEOM FDMS)
234,19/08/2015,20/08/2015,acth,Auchencorth Moss,v25,0.145833,ugm-3 (TEOM FDMS)
235,20/08/2015,21/08/2015,acth,Auchencorth Moss,v25,0.108333,ugm-3 (TEOM FDMS)
236,21/08/2015,22/08/2015,acth,Auchencorth Moss,v25,0.029167,ugm-3 (TEOM FDMS)
237,22/08/2015,23/08/2015,acth,Auchencorth Moss,v25,0.208333,ugm-3 (TEOM FDMS)
238,23/08/2015,24/08/2015,acth,Auchencorth Moss,v25,1.770833,ugm-3 (TEOM FDMS)
239,24/08/2015,25/08/2015,acth,Auchencorth Moss,v25,0.154167,ugm-3 (TEOM FDMS)
240,25/08/2015,26/08/2015,acth,Auchencorth Moss,v25,0.116667,ugm-3 (TEOM FDMS)
241,26/08/2015,27/08/2015,acth,Auchencorth Moss,v25,0.175,ugm-3 (TEOM FDMS)
242,27/08/2015,28/08/2015,acth,Auchencorth Moss,v25,-0.836364,ugm-3 (TEOM FDMS)
243,28/08/2015,29/08/2015,acth,Auchencorth Moss,v25,-0.866667,ugm-3 (TEOM FDMS)
244,29/08/2015,30/08/2015,acth,Auchencorth Moss,v25,-0.6375,ugm-3 (TEOM FDMS)
245,30/08/2015,31/08/2015,acth,Auchencorth Moss,v25,-0.216667,ugm-3 (TEOM FDMS)
246,31/08/2015,01/09/2015,acth,Auchencorth Moss,v25,0.129167,ugm-3 (TEOM FDMS)
247,01/09/2015,02/09/2015,acth,Auchencorth Moss,v25,-0.1125,ugm-3 (TEOM FDMS)
248,02/09/2015,03/09/2015,acth,Auchencorth Moss,v25,-0.2,ugm-3 (TEOM FDMS)
249,03/09/2015,04/09/2015,acth,Auchencorth Moss,v25,-0.654167,ugm-3 (TEOM FDMS)
250,04/09/2015,05/09/2015,acth,Auchencorth Moss,v25,-0.6,ugm-3 (TEOM FDMS)
251,05/09/2015,06/09/2015,acth,Auchencorth Moss,v25,-0.991667,ugm-3 (TEOM FDMS)
252,06/09/2015,07/09/2015,acth,Auchencorth Moss,v25,-0.829167,ugm-3 (TEOM FDMS)
253,07/09/2015,08/09/2015,acth,Auchencorth Moss,v25,0.473913,ugm-3 (TEOM FDMS)
254,08/09/2015,09/09/2015,acth,Auchencorth Moss,v25,2.670833,ugm-3 (TEOM FDMS)
255,09/09/2015,10/09/2015,acth,Auchencorth Moss,v25,1.833333,ugm-3 (TEOM FDMS)
256,10/09/2015,11/09/2015,acth,Auchencorth Moss,v25,1.416667,ugm-3 (TEOM FDMS)
257,11/09/2015,12/09/2015,acth,Auchencorth Moss,v25,1.754167,ugm-3 (TEOM FDMS)
258,12/09/2015,13/09/2015,acth,Auchencorth Moss,v25,1.345833,ugm-3 (TEOM FDMS)
259,13/09/2015,14/09/2015,acth,Auchencorth Moss,v25,0.195833,ugm-3 (TEOM FDMS)
260,14/09/2015,15/09/2015,acth,Auchencorth Moss,v25,0.8625,ugm-3 (TEOM FDMS)
261,15/09/2015,16/09/2015,acth,Auchencorth Moss,v25,0.179167,ugm-3 (TEOM FDMS)
262,16/09/2015,17/09/2015,acth,Auchencorth Moss,v25,0.166667,ugm-3 (TEOM FDMS)
263,17/09/2015,18/09/2015,acth,Auchencorth Moss,v25,-0.095833,ugm-3 (TEOM FDMS)
264,18/09/2015,19/09/2015,acth,Auchencorth Moss,v25,-0.920833,ugm-3 (TEOM FDMS)
265,19/09/2015,20/09/2015,acth,Auchencorth Moss,v25,-0.4875,ugm-3 (TEOM FDMS)
266,20/09/2015,21/09/2015,acth,Auchencorth Moss,v25,1.133333,ugm-3 (TEOM FDMS)
267,21/09/2015,22/09/2015,acth,Auchencorth Moss,v25,0.578261,ugm-3 (TEOM FDMS)
